,00097399,Cosmético,13/08/2018,-,verdadero,variable,value
331,30190,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
332,30191,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
333,30201,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
334,30202,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
335,30207,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
336,30208,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
337,30209,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
338,30215,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
339,30219,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
340,30220,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
341,30221,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
342,30222,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
343,30223,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
344,30230,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
345,30231,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
346,30232,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
347,30235,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
348,30236,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
349,30237,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
350,30238,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
351,30239,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
352,30240,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
353,30243,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
354,30244,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
355,30245,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
356,30246,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
357,30247,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
358,30248,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
359,30249,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
360,30250,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
361,30251,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
362,30254,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
363,30259,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
364,30261,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
365,30263,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
366,30267,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
367,30275,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
368,30276,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
369,30278,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
370,30282,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
371,30286,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
372,30287,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
373,30288,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
374,30290,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
375,30293,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
376,30295,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
377,30296,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
378,30297,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
379,30300,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
380,30302,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
381,30303,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
382,30304,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
383,30305,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
384,30306,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
